Career Years (Approx.),"Pay (2025, NZD)",Position (Grade)
0.0,78856,Assistant Lecturer (1.06)
0.62,82917,Assistant Lecturer (1.07)
1.25,86613,Assistant Lecturer (1.08)
1.88,92334,Lecturer (2.01)
3.12,96583,Lecturer (2.02)
4.38,100646,Lecturer (2.03)
5.62,104825,Lecturer (2.04)
6.25,107881,Lecturer (2.05)
7.5,111388,Lecturer (2.06)
9.38,117241,Senior Lecturer (4.01)
10.62,121262,Senior Lecturer (4.02)
11.88,125287,Senior Lecturer (4.03)
13.12,128946,Senior Lecturer (4.04)
14.38,132971,Senior Lecturer (4.05)
15.62,138824,Senior Lecturer Above Bar (5.01)
16.88,142849,Senior Lecturer Above Bar (5.02)
18.12,146869,Senior Lecturer Above Bar (5.03)
19.38,152541,Associate Professor (6.01)
20.62,156563,Associate Professor (6.02)
21.88,160586,Associate Professor (6.03)
23.12,164729,Professor (6.04)
24.38,172037,Professor (7.01)
26.25,182013,Professor (7.02)
28.12,190426,Professor (7.03)
30.0,198300,Professor (7.04)
32.5,205439,Professor (7.05)
35.0,213557,Professor (7.06)
37.5,219721,Professor (7.07)
40.0,231720,Distinguished Professor (8)
